
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|     152 |        2730 |       00:44:19 |      100.00% |       86.76% |   7.7526e-06 |       0.4842 |      1.0000e-04 |
|     153 |        2750 |       00:44:38 |      100.00% |              |   3.1948e-06 |              |      1.0000e-04 |
|     154 |        2760 |       00:44:48 |      100.00% |       86.76% |   4.5816e-06 |       0.4865 |      1.0000e-04 |
|     155 |        2790 |       00:45:17 |      100.00% |       86.76% |   5.4161e-06 |       0.4891 |      1.0000e-04 |
|     156 |        2800 |       00:45:27 |      100.00% |              |   5.9923e-06 |              |      1.0000e-04 |
|     157 |        2820 |       00:45:47 |      100.00% |       86.76% |   7.4347e-06 |       0.4915 |      1.0000e-04 |
|     159 |        2850 |       00:46:16 |      100.00% |       86.76% |   4.3830e-06 |       0.4939 |      1.0000e-04 |
|     160 |        2880 |       00:46:45 |      100.00% |       86.76% |   5.1975e-06 |       0.4965 |      1.0000e-04 |
|     162 |        2900 |       00:47:04 |      100.00% |              |   4.9512e-06 |              |      1.0000e-04 |
|     162 |        2910 |       00:47:14 |      100.00% |       86.76% |   7.1367e-06 |       0.4989 |      1.0000e-04 |
|     164 |        2940 |       00:47:43 |      100.00% |       86.76% |   4.1962e-06 |       0.5014 |      1.0000e-04 |
|     164 |        2950 |       00:47:53 |      100.00% |              |   1.8597e-06 |              |      1.0000e-04 |
|     165 |        2970 |       00:48:13 |      100.00% |       86.76% |   4.9909e-06 |       0.5043 |      1.0000e-04 |
