
                            < M A T L A B (R) >
                  Copyright 1984-2020 The MathWorks, Inc.
              R2020a Update 2 (9.8.0.1380330) 64-bit (glnxa64)
                                May 5, 2020

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
[Warning: Column headers from the file were modified to make them valid MATLAB
identifiers before creating variable names for the table. The original column
headers are saved in the VariableDescriptions property.
Set 'PreserveVariableNames' to true to use the original column headers as table
variable names.] 
Training on single GPU.
Initializing input data normalization.
|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|      48 |        2670 |       02:40:16 |      100.00% |       94.12% |   1.2398e-06 |       0.1667 |      1.0000e-04 |
|      49 |        2700 |       02:42:04 |      100.00% |       94.12% |   2.8372e-06 |       0.1348 |      1.0000e-04 |
|      49 |        2730 |       02:43:55 |      100.00% |       94.12% |   1.8239e-06 |       0.1469 |      1.0000e-04 |
|      50 |        2750 |       02:45:08 |      100.00% |              |   4.0914e-05 |              |      1.0000e-04 |
|      50 |        2760 |       02:45:49 |      100.00% |       95.59% |   1.6165e-05 |       0.1376 |      1.0000e-04 |
|      50 |        2790 |       02:47:43 |      100.00% |       95.59% |   1.1540e-05 |       0.1354 |      1.0000e-04 |
|      50 |        2800 |       02:48:18 |      100.00% |              |   5.9059e-05 |              |      1.0000e-04 |
|      51 |        2820 |       02:49:32 |      100.00% |       94.12% |   7.7486e-07 |       0.1328 |      1.0000e-04 |
|      51 |        2850 |       02:51:19 |      100.00% |       94.12% |   2.1815e-06 |       0.1354 |      1.0000e-04 |
|      52 |        2880 |       02:53:07 |      100.00% |       95.59% |   7.8202e-06 |       0.1226 |      1.0000e-04 |
|      52 |        2900 |       02:54:18 |      100.00% |              |   1.3471e-06 |              |      1.0000e-04 |
|      52 |        2910 |       02:54:56 |      100.00% |       95.59% |   4.5373e-05 |       0.1263 |      1.0000e-04 |
|      53 |        2940 |       02:56:43 |      100.00% |       95.59% |   6.1989e-06 |       0.1383 |      1.0000e-04 |
|      53 |        2950 |       02:57:18 |      100.00% |              |   1.2636e-06 |              |      1.0000e-04 |
|      54 |        2970 |       02:58:32 |      100.00% |       95.59% |   2.0504e-06 |       0.1306 |      1.0000e-04 |
|      54 |        3000 |       03:00:20 |      100.00% |       95.59% |   7.2122e-06 |       0.1263 |      1.0000e-04 |
|      55 |        3030 |       03:02:08 |      100.00% |       95.59% |   4.6839e-05 |       0.1325 |      1.0000e-04 |
|      55 |        3050 |       03:03:20 |      100.00% |              |   3.1948e-06 |              |      1.0000e-04 |
|      55 |        3060 |       03:03:58 |      100.00% |       95.59% |   1.9431e-06 |       0.1472 |      1.0000e-04 |
|      56 |        3090 |       03:05:49 |      100.00% |       95.59% |   2.1339e-06 |       0.1432 |      1.0000e-04 |
|      56 |        3100 |       03:06:25 |      100.00% |              |   8.3447e-07 |              |      1.0000e-04 |
|      56 |        3120 |       03:07:38 |      100.00% |       95.59% |   1.1814e-05 |       0.1505 |      1.0000e-04 |
|      57 |        3150 |       03:09:26 |      100.00% |       95.59% |   2.1815e-06 |       0.1276 |      1.0000e-04 |
|      57 |        3180 |       03:11:13 |      100.00% |       95.59% |   9.6560e-07 |       0.1316 |      1.0000e-04 |
|      58 |        3200 |       03:12:22 |      100.00% |              |   1.3435e-05 |              |      1.0000e-04 |
|      58 |        3210 |       03:13:00 |      100.00% |       95.59% |   9.2983e-07 |       0.1473 |      1.0000e-04 |
|      58 |        3240 |       03:14:47 |      100.00% |       95.59% |   1.2100e-05 |       0.1449 |      1.0000e-04 |
|      59 |        3250 |       03:15:23 |      100.00% |              |   1.1563e-06 |              |      1.0000e-04 |
|      59 |        3270 |       03:16:38 |      100.00% |       95.59% |   2.1100e-06 |       0.1385 |      1.0000e-04 |
|      59 |        3300 |       03:18:26 |      100.00% |       95.59% |   1.2994e-06 |       0.1160 |      1.0000e-04 |
|      60 |        3330 |       03:20:13 |      100.00% |       95.59% |   2.5630e-06 |       0.1251 |      1.0000e-04 |
|      60 |        3350 |       03:21:24 |      100.00% |              |   1.0061e-05 |              |      1.0000e-04 |
|      60 |        3360 |       03:22:02 |      100.00% |       95.59% |   4.5170e-05 |       0.1288 |      1.0000e-04 |
|      61 |        3390 |       03:23:52 |      100.00% |       95.59% |   3.9101e-06 |       0.1311 |      1.0000e-04 |
|      61 |        3400 |       03:24:27 |      100.00% |              |   7.6652e-06 |              |      1.0000e-04 |
|      62 |        3420 |       03:25:40 |      100.00% |       95.59% |   2.3007e-06 |       0.1297 |      1.0000e-04 |
|      62 |        3450 |       03:27:29 |      100.00% |       95.59% |   1.4985e-05 |       0.1394 |      1.0000e-04 |
|      63 |        3480 |       03:29:16 |      100.00% |       92.65% |   1.2529e-05 |       0.1416 |      1.0000e-04 |
|      63 |        3500 |       03:30:26 |      100.00% |              |   6.6877e-06 |              |      1.0000e-04 |
|      63 |        3510 |       03:31:04 |      100.00% |       94.12% |   1.3113e-06 |       0.1602 |      1.0000e-04 |
|      64 |        3540 |       03:32:52 |      100.00% |       95.59% |   2.6703e-06 |       0.1181 |      1.0000e-04 |
|      64 |        3550 |       03:33:27 |      100.00% |              |   1.7643e-06 |              |      1.0000e-04 |
|      64 |        3570 |       03:34:39 |      100.00% |       95.59% |   2.2411e-06 |       0.1299 |      1.0000e-04 |
|      65 |        3600 |       03:36:26 |      100.00% |       94.12% |   1.6594e-05 |       0.1478 |      1.0000e-04 |
|      65 |        3630 |       03:38:13 |      100.00% |       94.12% |   1.1480e-05 |       0.1397 |      1.0000e-04 |
|      66 |        3650 |       03:39:22 |      100.00% |              |   2.5511e-06 |              |      1.0000e-04 |
|      66 |        3660 |       03:39:59 |      100.00% |       94.12% |   1.0848e-06 |       0.1562 |      1.0000e-04 |
|      66 |        3690 |       03:41:49 |      100.00% |       92.65% |   2.0504e-06 |       0.1564 |      1.0000e-04 |
|      67 |        3700 |       03:42:25 |      100.00% |              |   3.2187e-06 |              |      1.0000e-04 |
|      67 |        3720 |       03:43:40 |      100.00% |       91.18% |   6.6043e-06 |       0.2661 |      1.0000e-04 |
|      67 |        3750 |       03:45:28 |      100.00% |       91.18% |   2.9553e-05 |       0.2190 |      1.0000e-04 |
|      68 |        3780 |       03:47:15 |      100.00% |       92.65% |   1.4234e-05 |       0.1744 |      1.0000e-04 |
|      68 |        3800 |       03:48:24 |      100.00% |              |   9.7515e-06 |              |      1.0000e-04 |
|      69 |        3810 |       03:49:02 |      100.00% |       92.65% |   1.5974e-06 |       0.1639 |      1.0000e-04 |
|      69 |        3840 |       03:50:51 |      100.00% |       95.59% |   3.5405e-06 |       0.1501 |      1.0000e-04 |
|      69 |        3850 |       03:51:27 |      100.00% |              |   2.1458e-06 |              |      1.0000e-04 |
|      70 |        3870 |       03:52:43 |      100.00% |       92.65% |   3.4393e-05 |       0.1582 |      1.0000e-04 |
|      70 |        3900 |       03:54:33 |      100.00% |       92.65% |   1.7047e-06 |       0.1725 |      1.0000e-04 |
|      71 |        3930 |       03:56:22 |      100.00% |       91.18% |   1.5974e-06 |       0.1607 |      1.0000e-04 |
|      71 |        3950 |       03:57:32 |      100.00% |              |   3.5048e-06 |              |      1.0000e-04 |
|      71 |        3960 |       03:58:10 |      100.00% |       91.18% |   7.0096e-06 |       0.1641 |      1.0000e-04 |
|      72 |        3990 |       03:59:58 |      100.00% |       92.65% |   2.3007e-06 |       0.1726 |      1.0000e-04 |
|      72 |        4000 |       04:00:33 |      100.00% |              |   3.5048e-06 |              |      1.0000e-04 |
|      72 |        4020 |       04:01:46 |      100.00% |       91.18% |   8.7023e-07 |       0.1731 |      1.0000e-04 |
|      73 |        4050 |       04:03:34 |      100.00% |       92.65% |   5.3644e-07 |       0.1798 |      1.0000e-04 |
|      73 |        4080 |       04:05:24 |      100.00% |       91.18% |   8.3566e-06 |       0.1768 |      1.0000e-04 |
|      74 |        4100 |       04:06:35 |      100.00% |              |   1.3351e-06 |              |      1.0000e-04 |
|      74 |        4110 |       04:07:13 |      100.00% |       91.18% |   1.0848e-06 |       0.1953 |      1.0000e-04 |
|      74 |        4140 |       04:09:03 |      100.00% |       91.18% |   1.2636e-06 |       0.1887 |      1.0000e-04 |
|      75 |        4150 |       04:09:39 |      100.00% |              |   3.2449e-05 |              |      1.0000e-04 |
|      75 |        4170 |       04:10:53 |      100.00% |       91.18% |   1.0729e-06 |       0.1684 |      1.0000e-04 |
|      75 |        4200 |       04:12:41 |      100.00% |       91.18% |   4.5468e-05 |       0.1879 |      1.0000e-04 |
|      76 |        4230 |       04:14:28 |      100.00% |       91.18% |   2.8491e-06 |       0.1661 |      1.0000e-04 |
|      76 |        4250 |       04:15:38 |      100.00% |              |   4.6731e-06 |              |      1.0000e-04 |
|      77 |        4260 |       04:16:16 |      100.00% |       75.00% |   1.1683e-05 |       1.9837 |      1.0000e-04 |
|      77 |        4290 |       04:18:04 |       80.00% |       86.76% |       0.5135 |       0.2983 |      1.0000e-04 |
|      77 |        4300 |       04:18:40 |       90.00% |              |       0.1494 |              |      1.0000e-04 |
|      78 |        4320 |       04:19:54 |       90.00% |       77.94% |       0.2603 |       0.3781 |      1.0000e-04 |
|      78 |        4350 |       04:21:42 |      100.00% |       89.71% |       0.0714 |       0.1862 |      1.0000e-04 |
|      79 |        4380 |       04:23:30 |      100.00% |       95.59% |       0.0012 |       0.1168 |      1.0000e-04 |
|      79 |        4400 |       04:24:40 |      100.00% |              |       0.0095 |              |      1.0000e-04 |
|      79 |        4410 |       04:25:17 |      100.00% |       91.18% |       0.0005 |       0.3012 |      1.0000e-04 |
|      80 |        4440 |       04:27:04 |      100.00% |       88.24% |       0.0143 |       0.2210 |      1.0000e-04 |
|      80 |        4450 |       04:27:39 |      100.00% |              |       0.0019 |              |      1.0000e-04 |
|      80 |        4470 |       04:28:53 |      100.00% |       91.18% |       0.0031 |       0.2733 |      1.0000e-04 |
|      81 |        4500 |       04:30:42 |      100.00% |       94.12% |       0.0003 |       0.1136 |      1.0000e-04 |
|      81 |        4530 |       04:32:31 |      100.00% |       89.71% |       0.0010 |       0.2048 |      1.0000e-04 |
|      82 |        4550 |       04:33:46 |      100.00% |              |       0.0037 |              |      1.0000e-04 |
|      82 |        4560 |       04:34:26 |      100.00% |       94.12% |       0.0003 |       0.2131 |      1.0000e-04 |
|      82 |        4590 |       04:36:20 |      100.00% |       94.12% |       0.0055 |       0.2086 |      1.0000e-04 |
|      83 |        4600 |       04:36:55 |      100.00% |              |       0.0007 |              |      1.0000e-04 |
|      83 |        4620 |       04:38:09 |      100.00% |       94.12% |   2.2197e-05 |       0.2007 |      1.0000e-04 |
|      84 |        4650 |       04:39:57 |      100.00% |       94.12% |       0.0008 |       0.2021 |      1.0000e-04 |
|      84 |        4680 |       04:41:47 |      100.00% |       94.12% |   6.7575e-05 |       0.2028 |      1.0000e-04 |
|      84 |        4700 |       04:42:56 |      100.00% |              |   7.8375e-05 |              |      1.0000e-04 |
|      85 |        4710 |       04:43:34 |      100.00% |       94.12% |       0.0010 |       0.2037 |      1.0000e-04 |
|      85 |        4740 |       04:45:21 |      100.00% |       94.12% |   8.8639e-05 |       0.2044 |      1.0000e-04 |
|      85 |        4750 |       04:45:56 |      100.00% |              |       0.0001 |              |      1.0000e-04 |
|      86 |        4770 |       04:47:09 |      100.00% |       94.12% |   4.6550e-05 |       0.2054 |      1.0000e-04 |
|      86 |        4800 |       04:48:57 |      100.00% |       94.12% |       0.0004 |       0.2053 |      1.0000e-04 |
|      87 |        4830 |       04:50:46 |      100.00% |       95.59% |   4.0361e-05 |       0.2066 |      1.0000e-04 |
|      87 |        4850 |       04:51:56 |      100.00% |              |       0.0003 |              |      1.0000e-04 |
|      87 |        4860 |       04:52:34 |      100.00% |       94.12% |   3.3949e-05 |       0.2064 |      1.0000e-04 |
|      88 |        4890 |       04:54:26 |      100.00% |       95.59% |   9.2652e-05 |       0.2075 |      1.0000e-04 |
